locality,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
FAWKNER,385000,460000,439000,406500,410000,444000,510000,587500,705500,720000,665000,708500,
FERNTREE GULLY,380000,449000,430500,429500,451000,505000,599000,660000,749000,732500,692000,742000,
FERNY CREEK,475000,580000,525000,456000,497500,492500,621000,750000,798000,830000,733000,925000,
FINGAL,520000,515000,700000,600000,677500,730000,857500,840000,1000000,1350000,1240000,1415000,
FITZROY,780000,805500,880000,918500,945000,1130000,1300000,1600000,1625000,1450000,1392500,1135500,
FITZROY NORTH,740000,900000,855000,868000,976000,1014000,1180000,1279000,1450000,1475000,1377500,1590000,
FIVEWAYS,320000,318500,290000,343500,355000,315000,380000,417500,525000,542500,485000,490000,
FLEMINGTON,580500,670000,655000,652000,735500,730000,830000,918000,1100000,926500,1000000,1107500,
FLINDERS,655000,760000,822000,710000,765000,808000,839000,1225000,1525000,1697500,1670000,1300000,
FLORA HILL,225000,266000,285000,309000,310000,323500,321000,325000,335000,352500,370000,389000,
FLOWERDALE,234500,180000,286500,250000,292500,172500,255000,237500,310000,390000,290000,420000,
FOOTSCRAY,505000,574000,568000,568000,600000,645000,690500,775000,882000,899000,810000,920000,
FOREST HILL,503000,620000,560000,565000,650500,720500,892000,933500,1060000,935000,900000,1004000,
FOSTER,222000,265000,265000,269500,298000,315000,325000,315000,320000,333500,325000,362500,
FRANKSTON,315000,367000,357000,340000,350000,372000,426000,475000,600000,605000,580500,611500,
FRANKSTON NORTH,237000,280000,277000,245000,255000,269000,297000,352000,470000,502000,423000,455000,
FRANKSTON SOUTH,453000,530000,533500,510000,535000,560000,620000,690000,815500,855000,817500,785000,
FRASER RISE,-,-,-,634500,455000,490000,465000,483000,540000,615000,598000,635000,
FYANSFORD,-,-,425000,310000,386500,478000,688000,592500,610000,650000,617500,750000,
GARDEN CITY,900000,1062500,912500,965000,1055000,1055000,1320000,1440000,1650000,1507500,1375000,NA,
GARDENVALE,825000,1200000,1133000,956000,1150000,1180000,1348000,1857500,1880000,1830000,1740000,NA,
GARFIELD,275000,342500,345000,335000,405000,355000,370000,405000,419000,540000,540000,585000,
GEELONG,390000,465000,475000,463000,500000,512000,607500,590000,735000,750000,720000,750000,
GEELONG WEST,347500,385000,405000,410000,440000,469000,490000,543500,656500,711000,675000,780000,
GEMBROOK,300000,340000,385000,349000,344000,400000,440000,525000,565000,610000,650000,630000,
GISBORNE,350000,399000,430000,429500,496000,510000,550000,635000,655000,770000,730000,720000,
GLADSTONE PARK,354000,426500,385000,380000,392500,400000,460000,525000,645000,630000,636500,660000,
GLEN HUNTLY,835500,919000,805000,792500,977500,1135000,1350000,1330000,1415000,1225000,1380000,NA,
GLEN IRIS,1026500,1320000,1200000,1200000,1310000,1500000,1800000,1935000,2025000,1940000,1929500,1860000,
GLEN WAVERLEY,660000,735000,718000,720000,815000,960000,1212500,1220500,1340000,1300000,1270000,1235000,
GLENGARRY,225000,250000,231000,232000,232500,283000,286000,277500,310000,300000,324000,342500,
GLENROWAN,236000,286000,290000,246000,230000,239000,225000,272500,300000,265000,372500,NA,
GLENROY,420000,508500,457500,437500,454000,500000,560000,600000,740000,725000,700000,740000,
GOLDEN BEACH,152500,150000,229000,206000,169500,172500,180000,212500,209500,225500,220000,310000,
GOLDEN POINT (BALLARAT),210000,250000,258000,250000,265000,265000,259000,295000,305000,347500,370000,385000,
GOLDEN SQUARE,223000,262000,270000,285000,295000,305000,306000,315000,320000,334000,340000,352000,
GORDON,262500,270000,300000,229500,278500,303000,290000,330000,404000,402500,495000,649500,
GOUGHS BAY,183000,193000,180000,220000,257500,247500,265000,235000,257500,345500,299500,500000,
GOWANBRAE,450000,535000,555500,467500,616500,557500,573000,619000,790000,727500,700500,820000,
GRANTVILLE,218000,260000,235000,245000,215000,255000,250000,272500,339500,402500,397500,421000,
GREEN LAKE,230000,230000,247500,250000,262500,254500,281500,305000,280000,270000,290000,361000,
GREENSBOROUGH,440000,530000,519000,490500,534000,574000,635000,717000,830000,815000,797500,832500,
GREENVALE,476000,517500,545000,537000,550000,539500,500000,510000,650000,720000,715000,728000,
GROVEDALE,292000,335000,345000,340000,352000,362000,370000,400000,432000,495000,505000,551500,
HADFIELD,417500,530000,486000,430000,461500,500000,550000,624500,740500,740000,727500,712500,
HALLAM,328500,365000,360000,360000,362500,380000,424000,460500,580000,630000,560000,590000,
HALLS GAP,230000,257500,255000,233500,184500,224500,245000,272500,280000,355000,310000,400500,
HAMILTON,185000,203500,217500,189000,192500,200000,200000,217000,190000,225000,208500,250000,
HAMLYN HEIGHTS,295000,345000,348000,339500,363500,366500,382500,415000,500000,545000,540000,560000,
HAMPTON,1101000,1295000,1282500,1200000,1270000,1340000,1650000,1800000,2022500,1905000,1896000,1650000,
HAMPTON EAST,655000,813000,747500,732500,770000,862500,1020000,1200000,1340000,1230000,1195000,1252500,
HAMPTON PARK,295000,333000,335000,320000,330000,337500,370000,410000,505000,550000,502000,532000,
HARKNESS,283000,310000,336500,329000,330000,340000,350000,360000,419500,485000,475000,470000,
HASTINGS,300000,355000,350000,347000,345000,368000,365000,400000,507500,519500,506000,555000,
HASTINGS WEST,229500,265000,272000,282500,280000,277000,289500,338000,425000,480000,430000,561000,
HAWTHORN,1237500,1430000,1330000,1405000,1575000,1606500,1916500,2240000,2650000,2488000,2195500,2578000,
HAWTHORN EAST,1142500,1400000,1250500,1300000,1247500,1554000,1850000,1890000,2350000,2215000,2050000,1857500,
HEALESVILLE,312500,361500,380000,380000,385500,400000,445000,457000,550000,601000,579500,574000,
HEATHCOTE,190000,217000,200000,220000,227500,260000,240000,268500,275000,310000,332500,357500,
HEATHERTON,569000,625000,632000,630000,630000,712000,771000,845000,981000,935000,965000,890000,
HEATHMONT,435000,539500,509000,525000,589000,638000,760000,789000,925000,932000,871000,910000,
HEIDELBERG,730500,815000,770000,750000,772500,840500,1060000,1150000,1280000,1107500,1122500,1302000,
HEIDELBERG HEIGHTS,452000,560000,537500,500000,536500,564500,676500,750000,843000,820000,777500,752500,
HEIDELBERG WEST,374000,475000,420000,400000,425500,461000,580000,630000,730500,700000,665000,790000,
HEPBURN,315000,317000,310000,275000,291000,330000,395000,375000,440000,425000,452500,485000,
HEPBURN SPRINGS,343500,298000,308000,310000,340000,350000,380000,414000,515000,490000,595000,559000,
HERNE HILL,280000,321000,325000,321000,350000,357000,368500,402000,490000,550000,534000,560000,
HEYFIELD,155000,155000,175000,171500,200000,180000,182500,195000,178500,206500,195000,227500,
HEYWOOD,149000,172000,167500,153000,142000,150000,173000,160000,164000,166000,178000,176500,
HIGHETT,650000,760000,711000,682500,750000,850000,992500,1175000,1318500,1275000,1229500,1350000,
HIGHTON,385000,437000,450000,460000,477500,510000,505000,555000,622500,681000,690000,697000,
HILLSIDE (MELTON),355000,420000,415000,425000,430000,440000,470000,526500,620000,645000,642000,652500,
HOPETOUN,73500,63000,55500,81000,88000,95500,75000,80000,92000,86000,66000,142500,
HOPPERS CROSSING,283000,327500,328000,312500,321500,340000,365500,415000,516000,552000,528500,545000,
HORSHAM,176500,187000,210000,220000,215000,215000,240000,245000,262500,255000,269000,260000,
HUGHESDALE,695000,838000,740000,741500,820000,856000,1165000,1222500,1420000,1277500,1150500,1480000,
HUNTINGDALE,560000,642500,610000,590000,659000,728000,835000,924500,1132000,1010000,914000,1278000,
HUNTLY,261000,269500,250000,215000,337500,325000,355000,340000,335000,357500,367500,372500,
HURSTBRIDGE,402000,491000,457500,445000,482000,482000,547500,614500,714000,731000,700000,740000,
INDENTED HEAD,321500,360000,347000,430000,390000,385000,382500,395000,455000,575500,606000,728500,
INGLEWOOD,130000,170000,208500,186500,160000,145000,200000,152500,182500,180000,185000,250000,
INVERLEIGH,240000,230000,365000,246500,319500,321500,355000,360000,472500,528500,503000,500000,
INVERLOCH,379000,422500,450000,420000,431000,440000,425000,442500,495000,598000,592500,649000,
INVERMAY PARK,305000,337500,363500,370000,378000,387000,405000,377500,391000,465000,475000,497000,
IRONBARK,226500,232000,287000,280000,277000,280000,292500,365000,280000,320000,296000,465500,
IRYMPLE,215000,213500,228000,215000,248000,228500,268000,255000,291000,310000,380000,365000,
IVANHOE,802000,1032500,980000,907500,1100000,1203000,1125000,1400000,1515000,1600000,1540000,1422500,
IVANHOE EAST,958000,1415000,1300000,1200000,1310000,1513000,1542500,1764500,1975000,1914000,1765000,1990000,
JACANA,320500,391000,345000,310500,334000,342500,375000,423000,571500,555000,512500,510000,
JACKASS FLAT,262000,275000,255000,357500,287500,360000,350500,345500,299000,310000,331500,345000,
JAMIESON,193500,242500,215000,267500,205000,210000,258500,220000,266500,265000,311500,345000,
JAN JUC,467000,542500,587500,570000,555000,595000,615000,716000,850000,905000,870000,860000,
JEERALANG NORTH,161500,152000,129000,159500,145500,187500,175000,140000,248000,169500,235000,296000,
JEPARIT,66500,66000,101500,59000,80500,63000,89000,124000,66500,77000,81000,88000,
JUNCTION VILLAGE,276500,314500,287500,300000,312000,320000,370000,389000,436000,509000,483500,467500,
JUNORTOUN,431500,420000,425000,465000,490000,508500,417500,490000,512500,506500,530000,589000,
KALIMNA,266500,265000,312500,268000,230000,285000,300000,270000,276500,326500,292500,325000,
KALKALLO,-,215000,375000,272500,450000,450000,180000,432500,529500,550000,532500,540000,
KALLISTA,410000,450000,482000,452500,425000,465000,523000,567500,676000,737500,700000,564000,
KALORAMA,350000,440000,440000,420000,442500,451000,496000,533000,670000,686500,645000,642000,
KANGAROO FLAT,233000,252000,270000,284500,292500,300000,303000,300000,310000,325000,340000,370000,
KANGAROO GROUND SOUTH,515000,679500,606500,631000,615000,655000,650000,670000,853500,930000,815500,1080000,
KANIVA,96000,94000,90000,87000,75000,87500,100000,120000,157500,164000,169500,137500,
KEALBA,313500,385500,372500,375000,370000,390000,400000,470000,595000,612000,596000,600000,
KEILOR,510000,603000,570000,592500,572500,633000,703000,805000,845000,815000,836500,830000,
KEILOR DOWNS,370000,423000,405000,400000,403500,429000,496500,562000,667500,664000,630000,650000,
KEILOR EAST,454000,580000,587500,527500,560000,599000,651000,720000,843000,830000,835000,858000,
KEILOR LODGE,415000,460000,520000,480000,490000,500000,555500,607500,760000,715000,740000,NA,
KEILOR PARK,407500,514500,501000,480000,455000,512500,565000,650000,741000,770000,708000,660000,
KENNINGTON,265000,295000,306000,300000,351500,345000,334000,355000,372000,383500,373500,411000,
KENSINGTON,570000,676000,650000,650000,690000,730000,822000,908000,1022500,1020000,980000,1150000,
KERANG,147500,147500,150000,150000,152000,145000,152000,167000,160000,177000,170000,160000,
KEW,1390000,1650000,1650000,1500000,1751000,1950000,2080000,2200000,2320000,2337500,2255000,2200000,
KEW EAST,932000,1085000,1056000,1005000,1210000,1314000,1600000,1655000,1876000,1800000,1837000,1905000,
KEW NORTH,940000,1174000,1071000,995500,1260000,1301000,1665000,1805000,1905000,1852500,1833000,2307500,
KEYSBOROUGH,375000,417500,430000,425000,435000,456500,559500,650000,745000,768000,740000,745000,
KIALLA,320000,335000,360000,318500,360000,365000,367500,374000,390000,418000,450000,420000,
KILCUNDA,292500,350000,330000,350000,375000,320000,400000,480000,504000,496000,533000,662000,
KILLARA (WODONGA),212500,212500,212500,116500,351000,344000,360000,425000,400000,420000,453500,413000,
KILMORE,273500,327500,325000,312000,327500,319000,336500,333000,387500,440000,435000,467500,
KILSYTH,370000,432500,430000,415000,435000,460000,548500,620000,699000,686000,642500,700000,
KILSYTH SOUTH,438500,515500,520000,501000,542500,575000,676000,738000,845000,826000,761500,848000,
KINGLAKE,265000,280000,306500,310000,330000,318000,340000,346000,458000,480000,555000,630000,
KINGS PARK,285000,340000,330000,324000,315000,325000,355000,415000,532500,550000,510000,537500,
KINGSBURY,421000,519000,475000,437500,470000,502500,560000,610000,731000,730000,660000,700500,
KINGSVILLE,546500,630000,599500,597500,635000,703500,785000,925000,1020000,990000,1010000,875000,
KNOXFIELD,420000,471000,480000,465000,500000,580000,681000,740000,870000,815000,760000,829000,
KOO WEE RUP,280000,297000,334500,320000,315000,335000,345000,400000,450000,510000,550000,510000,
KOONDROOK,139000,239500,150000,165000,147500,155000,198500,165000,247500,268000,212500,215000,
KOROIT,210000,236000,266000,290000,275000,300000,296000,294000,325000,349000,345000,341000,
KORUMBURRA,214000,234000,237500,240000,236000,222500,262500,257500,292000,317500,319000,378000,
KURUNJANG,241500,288000,300000,281000,287000,280000,289500,310000,370000,435500,420500,440000,
KYABRAM,195000,209500,200000,217500,237000,235000,240000,234000,239000,261000,263000,270000,
KYNETON,269500,330000,370000,370000,369000,400000,425500,455000,495000,550000,595000,620000,
LAKE BOGA,149000,187000,212500,200000,200000,143500,245000,222500,182500,220000,239000,211500,
LAKE GARDENS,350000,387000,400500,385000,445000,445000,461000,485000,461500,575000,552500,635000,
LAKE TYERS BEACH,235000,286000,285000,274000,270000,354000,330000,268500,362500,300000,357500,400000,
LAKE WENDOUREE,404000,550000,627500,545000,634000,650000,685000,700000,790000,775000,836500,995000,
LAKES ENTRANCE,260000,256500,300000,251500,269500,254000,255500,280000,281500,328000,310000,320000,
LALOR,335000,387000,380000,360500,365000,385000,445000,499500,625500,625000,590500,627500,
LANCEFIELD,260500,281000,321000,315000,377500,362000,360000,360000,415000,456000,500000,510000,
LANG LANG,254000,260000,310000,277500,285000,295000,316500,355000,390000,475000,495000,530000,
LANGWARRIN,332000,395000,387500,375000,385000,420000,450000,503000,600000,642500,617500,644000,
LARA,280000,325000,327500,335000,350000,340000,348000,355000,430000,515000,495000,552500,
LARA LAKE,303000,340000,355000,355000,363500,398000,375000,395000,450500,527000,540000,542000,
LAUNCHING PLACE,284000,355000,343500,340000,330000,337500,366000,435000,490000,531000,554000,520000,
LAVERTON,310000,353000,340000,320000,325000,358000,377500,429500,535000,579000,529000,542500,
LAVERTON SOUTH,355000,410000,400000,390500,392500,422500,450000,528500,610500,646000,622500,665000,
LEARMONTH,217000,210000,260000,245000,220000,253500,222500,250000,315000,327000,331000,307000,
LENEVA,324000,394000,362000,382000,361500,372500,370500,376000,397500,387500,426000,455000,
LEONGATHA,253000,285000,282500,289000,300000,295500,305000,305000,320000,360000,367000,386000,
LEOPOLD,309000,346000,340000,350000,360000,366500,365000,407000,447000,500500,510000,540000,
LILYDALE,390000,438500,456000,420000,469000,480000,534000,633500,710500,708000,680000,708500,
LINTON,175000,152500,168500,187500,163500,208000,152000,202500,255000,236500,256500,337500,
LISMORE,110000,110000,145000,132500,110000,109000,115000,141500,155000,132500,144500,237500,
LOCH SPORT,151000,170000,165000,165000,166000,153500,145000,178000,182000,230000,244000,220000,
LOCKINGTON,124000,158000,146500,165000,175000,174000,220000,196000,149000,183000,222000,NA,
LONG GULLY,180000,210000,220000,220000,230000,255000,244000,240000,257000,269000,280000,269500,
LONGWARRY,246500,262500,275000,286500,289500,297500,307000,335000,378000,408500,405000,475500,
LORNE,755000,800000,840000,800000,840000,815000,895000,765000,1150000,1275000,1295000,1625000,
LOVELY BANKS,353500,365000,385500,402000,360500,406500,388500,470000,460000,525000,570000,445000,
LOWER PLENTY,590000,650000,587500,615000,680500,675000,770000,900000,980000,1055000,905000,1491500,
LUCAS,-,-,-,292500,348000,355000,389000,345000,349500,395000,431000,502500,
LUCKNOW,227500,234000,247500,200000,235000,229000,230000,244500,261500,280000,275000,502500,
LYNBROOK,380000,412000,424500,415000,430000,460000,500000,542500,595000,640000,623000,617500,
LYNDHURST,357000,435000,440500,450000,465000,482500,550000,585000,625000,695000,665000,687500,
LYSTERFIELD,496000,640000,642500,643500,681500,670000,780000,857500,995500,976500,956500,940000,
LYSTERFIELD SOUTH,821000,1027500,895000,830000,931500,1000000,1018500,1240000,1300000,1275000,1045000,NA,
MACEDON,385500,473000,434500,525000,490000,460000,532500,585000,696000,815000,800000,725000,
MACLEOD,491000,645000,600000,555000,647500,705000,755000,868000,950000,920000,914500,967000,
MACS COVE,167000,161000,176000,175500,244000,185000,189000,225000,240000,269500,300000,NA,
MADDINGLEY,258000,292500,300000,308000,316500,320000,332500,346000,395000,442000,460000,515000,
MAFFRA,200000,230500,230000,235000,229000,215000,230000,258000,251500,261500,255000,293000,
MAIDEN GULLY,336500,385000,408500,422500,440000,415000,430000,477000,471000,495500,512500,480000,
MAIDSTONE,465000,563500,540000,499000,535000,587500,630000,694000,825000,800000,779000,715000,
MALDON,245000,280000,267500,272500,315000,325000,339000,395000,426500,420000,510000,395000,
MALLACOOTA,272500,300000,263000,267500,285000,285000,288500,325000,345000,290000,406500,402500,
MALMSBURY,247500,314000,300000,332500,292500,317500,397500,344000,447000,462000,475000,560000,
MALVERN,1552000,1741500,1542500,1550000,1508500,1946000,2230000,2328500,2750000,2661000,2550000,2355000,
MALVERN EAST,952000,1188000,1120000,1039000,1200000,1380000,1610000,1729000,1838500,1900000,1770000,1610000,
MANANGATANG,85000,70000,40000,78000,58500,64000,42500,44500,40000,82000,97000,110000,
MANIFOLD HEIGHTS,410500,401000,449000,425000,532500,489000,489500,620000,721500,785500,715000,1437500,
MANOR LAKES,311500,348500,360000,345000,340500,360000,385000,417500,490000,526000,535000,555000,
MANSFIELD,250000,280000,301500,315000,364000,347000,367500,359000,385000,430000,456000,394000,
MARENGO,365000,540000,502500,450000,750000,382500,577500,599000,670000,597500,687500,810000,
MARIBYRNONG,610000,705000,645000,646000,714000,750500,837500,940000,1056000,1028500,987500,955000,
MARONG,219000,257500,285000,312500,310000,345000,364000,330000,348000,365000,420000,375000,
MARSHALL,297000,367500,322500,365000,360000,382500,377000,400000,430000,468000,486500,465000,
MARYBOROUGH,152000,160000,180000,184000,194000,200000,192500,206500,194000,229500,235500,245000,
MARYSVILLE,240000,340000,395500,145000,180000,125000,320000,332500,383000,477500,462500,NA,
MCCRAE,424000,560000,623000,555000,530000,535000,597500,689000,775000,847500,795000,770000,
MCKENZIE HILL,375000,350000,394000,465000,397000,140000,429500,475000,471500,495000,536500,538000,
MCKINNON,862500,970000,925000,944000,1025000,1220000,1500000,1657500,1720000,1555000,1525000,1875000,
MEADOW HEIGHTS,300000,345000,321500,315000,317000,322500,350500,370000,451000,510000,472500,481500,
MELTON,217500,250000,256000,250000,245000,240000,255000,280500,368500,415000,385000,390000,
MELTON SOUTH,215000,248500,247000,230000,230000,238000,260000,275500,377000,417000,390000,400500,
MELTON WEST,247000,285000,300000,283000,285500,290000,295000,330000,409000,453000,424000,475000,
MENTONE,598500,680000,692500,665000,705000,810000,950000,982500,1097500,1080000,1028000,972500,
MENZIES CREEK,343000,482500,475000,465000,515000,428000,580000,597000,640000,760000,682500,680000,
MERBEIN,151000,161000,157000,142500,140500,167000,180000,170000,183500,180000,210000,198500,
MERINDA PARK,277000,300000,305000,285000,310000,310000,345000,385000,471500,523000,477000,545000,
MERNDA,350000,390000,397000,374500,375000,370000,410000,430000,525500,573500,552000,535000,
MERRIJIG (MANSFIELD),332500,287500,342500,272500,332500,390000,292500,344000,420000,461000,422500,NA,
METUNG,260000,302000,267500,350000,337500,287500,299000,360000,347500,371500,425000,450000,
MICKLEHAM,-,-,-,-,213000,168000,385000,437000,500000,520000,525000,545000,
MIDDLE PARK,1300000,1512500,1345000,1420500,1587500,2125000,2317000,2238500,2370000,2650000,2705000,3555000,
MILDURA,205000,220000,222000,225000,225500,245000,252000,260000,264000,281500,310000,317500,
MILL PARK,366000,420000,410000,405000,408000,430500,480000,560000,668500,657000,654000,681000,
MILLGROVE,216500,234000,235000,235000,245000,260000,275000,293500,343000,411000,415000,440000,
MINERS REST,280000,320000,339000,325000,330000,327500,335000,334000,370000,400000,428000,434000,
MINYIP,86500,85000,82500,81000,73500,95000,93000,82500,94000,81000,114500,95000,
MIRBOO NORTH,230000,244000,257000,252000,265000,250000,262000,275000,264000,307500,327500,371500,
MITCHAM,505000,635000,595000,584500,650000,730000,886000,941000,1070000,1000000,942000,1085500,
MITCHELL PARK,229000,257000,247500,270000,267000,267500,260000,259000,263000,304500,313000,325000,
MOE,135000,150000,165000,165000,155000,170000,162500,173000,175000,200000,210000,232500,
MONBULK,325500,420000,392500,380000,395000,425000,471500,521500,608000,650000,630000,633500,
MONT ALBERT,1073500,1310000,1310000,1177500,1316000,1490000,1863000,1921000,2100000,1990000,1680000,2050000,
MONT ALBERT NORTH,792000,965000,850500,780000,995000,1100000,1400000,1490000,1565000,1435000,1380000,1720000,
MONTMORENCY,474000,580000,560000,561000,570000,614000,732000,780500,890000,926000,856000,904500,
MONTROSE,385500,440000,435000,426000,445000,476500,559000,625000,700500,737500,707500,711000,
MOONEE PONDS,678500,852500,780500,775000,830500,920000,1006000,1110500,1310000,1360000,1300000,1300000,
MOORABBIN,588500,710000,657000,631000,682000,768000,855000,980000,1160000,1127500,1050000,1211000,
MOOROOLBARK,370000,445000,435000,425000,440000,465000,558500,620000,726000,720000,670000,710500,
MOOROOPNA,205000,222000,215000,217500,207500,215000,230000,215500,225000,230000,249000,265000,
MORDIALLOC,575000,650000,660000,642500,680000,755000,850000,933000,1120000,1046500,1010000,1390000,
MORNINGTON,427500,512000,525000,501500,525000,558000,641000,745000,800000,850000,800000,825000,
MORTLAKE,153000,150000,146000,152000,129500,152500,120000,152000,170000,165000,164000,160000,
MORWELL,140000,152500,158500,150500,160000,150000,150000,153000,170000,167000,180000,177000,
MOUNT BEAUTY,180000,195000,173000,140000,180000,200000,189500,183000,258000,267500,294000,290000,
MOUNT CLEAR,236000,265000,287000,305000,286000,288000,322500,345000,345000,379000,396500,415000,
MOUNT DANDENONG,450000,476000,447500,476500,450000,610000,612500,641000,847000,647500,662000,785000,
MOUNT DUNEED,505000,267000,190000,480000,286000,532000,545000,425000,500000,555000,563000,565000,
MOUNT ELIZA,625000,732000,725000,680000,750000,777500,832000,950000,1137500,1220000,1157500,1280000,
MOUNT EVELYN,340000,390500,400000,393000,406000,428500,493500,551000,640000,671500,636000,705500,
MOUNT HELEN,307500,311000,355000,325000,344000,368000,342000,355000,376000,420000,418500,472500,
MOUNT MACEDON,476500,520000,512500,543000,662500,600000,635000,750000,665000,859000,775000,1036000,
MOUNT MARTHA,605000,691000,690000,715500,727500,745000,780000,965000,1050000,1202500,1252500,1230000,
MOUNT PLEASANT,211000,239000,248500,259000,276500,269500,293500,297500,293000,350000,377500,400000,
MOUNT WAVERLEY,691500,806000,745000,733000,820000,950000,1268000,1265000,1420000,1320000,1267000,1350000,
MULGRAVE,478500,550000,531000,533000,577500,627000,765500,786000,900500,860000,840000,928000,
MURCHISON,166500,175000,165000,183000,186000,155000,165000,187000,254500,225000,244500,358500,
MURRUMBEENA,755500,835000,822000,785000,870000,982500,1204000,1286000,1420000,1350000,1241500,1495000,
MURTOA,92500,85000,133000,108500,95000,110000,91000,97500,115000,110000,119000,132500,
MYRTLEFORD,190000,179000,219000,220000,220000,245000,242000,270500,265000,295000,315000,327500,
NAGAMBIE,210500,351500,248000,255000,312500,378000,360500,336000,330000,385000,414000,425000,
NARRE WARREN,321500,369000,364000,356000,370000,386000,430000,487500,590000,615500,590000,602500,
NARRE WARREN NORTH,645000,710000,730000,660000,685000,822500,773000,900000,1108000,1180000,1075000,1185000,
NARRE WARREN SOUTH,360500,405000,405000,405000,410000,440000,476000,530000,620000,636500,625000,643000,
NATHALIA,165000,155000,150000,205000,165000,190500,178000,185000,232500,210000,229000,227500,
NATIMUK,128500,120000,142500,116000,166000,145000,161000,165500,249500,158500,148500,370000,
NEERIM SOUTH,262500,240000,260000,265000,340000,336500,280000,330000,320000,406500,394000,655000,
NELSON,187000,266500,240000,205000,224000,203500,257500,220000,249500,255000,247500,210000,
NERRINA,300000,381000,387000,467500,455000,482500,522500,517500,570000,575000,617500,625000,
NEW GISBORNE,369000,465000,492000,475000,500000,510000,498000,545000,625000,757500,695000,715000,
NEWBOROUGH,173000,192500,186000,213500,213000,215000,220000,224500,220000,250000,256000,252000,
NEWCOMB,229000,280000,275000,275000,280000,292000,290500,310000,375000,455000,435000,464000,
NEWINGTON,253500,290500,290000,300000,320000,341000,345000,372500,422500,465000,495000,585000,
NEWLANDS ARM,280000,300000,332000,325000,320000,302000,332500,380000,380000,367500,444000,397000,
NEWPORT,560000,655000,680000,630000,695000,740000,825000,950000,1080000,1060000,1055000,1010000,
NEWSTEAD,197500,237500,243000,252000,300000,297500,365000,362000,420000,313000,436000,409500,
NEWTOWN (GREATER GEELONG),421000,559500,533000,527500,570000,620000,642500,712500,780000,843000,825000,1005000,
NHILL,124000,101500,107000,110000,110000,125000,128000,140000,126500,149000,137000,107500,
NICHOLS POINT,310000,217500,311500,232000,316500,304000,370000,396000,346000,470000,430000,435000,
NIDDRIE,595000,740000,742500,666000,700000,747500,832500,910000,1095000,1070000,1070000,845000,
NOBLE PARK,350000,415000,410000,382000,400000,440000,510000,600000,680000,680000,629000,653000,
NOBLE PARK NORTH,350000,415000,395000,370000,383000,420000,491500,563000,640000,660000,610000,656500,
NOOJEE,201500,220000,200000,206500,167000,174500,290000,208000,155000,255000,224000,411500,
NORLANE,160000,190500,203000,206500,202500,215000,216000,236500,290000,355000,349000,366500,
